code,dataset,field,code_type,description
E84,hes_apc,diag,icd10,cystic fibrosis
J98.4,hes_apc,diag,icd10,other disorders of lung
P27,hes_apc,diag,icd10,chronic respiratory disease originating in the perinatal period
P28,hes_apc,diag,icd10,other respiratory conditions originating in the perinatal period
Q30,hes_apc,diag,icd10,congenital malformations of nose
Q31,hes_apc,diag,icd10,congenital malformations of larynx
Q32,hes_apc,diag,icd10,congenital malformations of trachea and bronchus
Q33,hes_apc,diag,icd10,congenital malformations of lung
Q34,hes_apc,diag,icd10,other congenital malformations of respiratory system
Q39.1,hes_apc,diag,icd10,atresia of oesophagus with tracheo-oesophageal fistula
Q39.2,hes_apc,diag,icd10,congenital tracheo-oesophageal fistula without atresia
Q25.4,hes_apc,diag,icd10,other congenital malformations of aorta
