code,dataset,field,code_type,description,group,subgroup,flag
Q00,hes_apc,diag,icd10,anencephaly and similar malformations,neuro,brain_spc_malformation,
Q01,hes_apc,diag,icd10,encephalocele,neuro,brain_spc_malformation,
Q02,hes_apc,diag,icd10,microcephaly,neuro,brain_spc_malformation,
Q03,hes_apc,diag,icd10,congenital hydrocephalus,neuro,brain_spc_malformation,
Q04,hes_apc,diag,icd10,other congenital malformations of brain,neuro,brain_spc_malformation,
Q05,hes_apc,diag,icd10,spina bifida,neuro,brain_spc_malformation,
Q06,hes_apc,diag,icd10,other congenital malformations of spinal cord,neuro,brain_spc_malformation,
Q07,hes_apc,diag,icd10,other congenital malformations of nervous system,neuro,brain_spc_malformation,
G90.1,hes_apc,diag,icd10,familial dysautonomia [riley-day],neuro,brain_spc_malformation,
F71,hes_apc,diag,icd10,moderate mental retardation,neuro,mental_ret,
F72,hes_apc,diag,icd10,severe mental retardation,neuro,mental_ret,
F73,hes_apc,diag,icd10,profound mental retardation,neuro,mental_ret,
E75.0,hes_apc,diag,icd10,gmôéé gangliosidosis,neuro,cns_degeneration,
E75.1,hes_apc,diag,icd10,other gangliosidosis,neuro,cns_degeneration,
E75.2,hes_apc,diag,icd10,other sphingolipidosis,neuro,cns_degeneration,
E75.4,hes_apc,diag,icd10,neuronal ceroid lipofuscinosis,neuro,cns_degeneration,
F84.2,hes_apc,diag,icd10,rett syndrome,neuro,cns_degeneration,
G11.1,hes_apc,diag,icd10,early-onset cerebellar ataxia,neuro,cns_degeneration,
G11.2,hes_apc,diag,icd10,late-onset cerebellar ataxia,neuro,cns_degeneration,
G11.3,hes_apc,diag,icd10,cerebellar ataxia with defective dna repair,neuro,cns_degeneration,
G11.4,hes_apc,diag,icd10,hereditary spastic paraplegia,neuro,cns_degeneration,
G11.8,hes_apc,diag,icd10,other hereditary ataxias,neuro,cns_degeneration,
G11.9,hes_apc,diag,icd10,hereditary ataxia unspecified,neuro,cns_degeneration,
G12.0,hes_apc,diag,icd10,infantile spinal muscular atrophy type i [werdnig-hoffman],neuro,cns_degeneration,
G12.1,hes_apc,diag,icd10,other inherited spinal muscular atrophy,neuro,cns_degeneration,
G12.2,hes_apc,diag,icd10,motor neuron disease,neuro,cns_degeneration,
G12.8,hes_apc,diag,icd10,other spinal muscular atrophies and related syndromes,neuro,cns_degeneration,
G12.9,hes_apc,diag,icd10,spinal muscular atrophy unspecified,neuro,cns_degeneration,
G31.0,hes_apc,diag,icd10,circumscribed brain atrophy,neuro,cns_degeneration,code_truncated
G31.8,hes_apc,diag,icd10,other specified degenerative diseases of nervous system,neuro,cns_degeneration,
G32.8,hes_apc,diag,icd10,other specified degenerative disorders of nervous system in diseases classified elsewhere,neuro,cns_degeneration,code_truncated
G93.8,hes_apc,diag,icd10,other specified disorders of brain,neuro,cns_degeneration,
G93.9,hes_apc,diag,icd10,disorder of brain unspecified,neuro,cns_degeneration,
G94,hes_apc,diag,icd10,other disorders of brain in diseases classified elsewhere,neuro,cns_degeneration,
G91.1,hes_apc,diag,icd10,obstructive hydrocephalus,neuro,cns_degeneration,
G31.9,hes_apc,diag,icd10,degenerative disease of nervous system unspecified,neuro,cns_degeneration,
G95.1,hes_apc,diag,icd10,vascular myelopathies,neuro,cns_degeneration,code_truncated
G95.8,hes_apc,diag,icd10,other specified diseases of spinal cord,neuro,cns_degeneration,code_truncated
G90.9,hes_apc,diag,icd10,disorder of autonomic nervous system unspecified,neuro,cns_degeneration,
Q85.1,hes_apc,diag,icd10,tuberous sclerosis,neuro,cns_degeneration,
G80,hes_apc,diag,icd10,cerebral palsy,neuro,infantile_cp,
G40.1,hes_apc,diag,icd10,localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,neuro,epilepsy,code_truncated
G40.2,hes_apc,diag,icd10,localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,neuro,epilepsy,code_truncated
G40.3,hes_apc,diag,icd10,generalized idiopathic epilepsy and epileptic syndromes,neuro,epilepsy,code_truncated
G40.4,hes_apc,diag,icd10,other generalized epilepsy and epileptic syndromes,neuro,epilepsy,code_truncated
G40.8,hes_apc,diag,icd10,other epilepsy,neuro,epilepsy,code_truncated
G40.9,hes_apc,diag,icd10,epilepsy unspecified,neuro,epilepsy,code_truncated
G37.1,hes_apc,diag,icd10,central demyelination of corpus callosum,neuro,other_cns,
G37.2,hes_apc,diag,icd10,central pontine myelinolysis,neuro,other_cns,
G37.8,hes_apc,diag,icd10,other specified demyelinating diseases of central nervous system,neuro,other_cns,
G81.9,hes_apc,diag,icd10,hemiplegia unspecified,neuro,other_cns,code_truncated
G82.5,hes_apc,diag,icd10,tetraplegia unspecified,neuro,other_cns,code_truncated
G83.5,hes_apc,diag,icd10,locked-in syndrome,neuro,other_cns,
G83.9,hes_apc,diag,icd10,paralytic syndrome unspecified,neuro,other_cns,
G93.1,hes_apc,diag,icd10,anoxic brain damage not elsewhere classified,neuro,other_cns,
G93.5,hes_apc,diag,icd10,compression of brain,neuro,other_cns,
I63.3,hes_apc,diag,icd10,cerebral infarction due to thrombosis of cerebral arteries,neuro,occlusion_cer_art,code_truncated
I63.5,hes_apc,diag,icd10,cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,neuro,occlusion_cer_art,code_truncated
G71,hes_apc,diag,icd10,primary disorders of muscles,neuro,musc_distr_myopathies,
G72,hes_apc,diag,icd10,other myopathies,neuro,musc_distr_myopathies,
G10,hes_apc,diag,icd10,huntington disease,neuro,movement_disorders,
G20,hes_apc,diag,icd10,parkinson disease,neuro,movement_disorders,
G21.0,hes_apc,diag,icd10,malignant neuroleptic syndrome,neuro,movement_disorders,
G21.1,hes_apc,diag,icd10,other drug-induced secondary parkinsonism,neuro,movement_disorders,code_truncated
G21.8,hes_apc,diag,icd10,other secondary parkinsonism,neuro,movement_disorders,
G23.0,hes_apc,diag,icd10,hallervorden-spatz disease,neuro,movement_disorders,
G23.1,hes_apc,diag,icd10,progressive supranuclear ophthalmoplegia [steele-richardson-olszewski],neuro,movement_disorders,
G23.2,hes_apc,diag,icd10,multiple system atrophy parkinsonian type [msa-p],neuro,movement_disorders,
G23.8,hes_apc,diag,icd10,other specified degenerative diseases of basal ganglia,neuro,movement_disorders,
G24.0,hes_apc,diag,icd10,drug-induced dystonia,neuro,movement_disorders,code_truncated
G24.8,hes_apc,diag,icd10,other dystonia,neuro,movement_disorders,
G25.3,hes_apc,diag,icd10,myoclonus,neuro,movement_disorders,
G25.4,hes_apc,diag,icd10,drug-induced chorea,neuro,movement_disorders,
G25.5,hes_apc,diag,icd10,other chorea,neuro,movement_disorders,
G25.8,hes_apc,diag,icd10,other specified extrapyramidal and movement disorders,neuro,movement_disorders,
G25.9,hes_apc,diag,icd10,extrapyramidal and movement disorder unspecified,neuro,movement_disorders,
G80.3,hes_apc,diag,icd10,dyskinetic cerebral palsy,neuro,movement_disorders,
T85.0,hes_apc,diag,icd10,mechanical complication of ventricular intracranial (communicating) shunt,neuro,devices [neuro],code_truncated
T85.1,hes_apc,diag,icd10,mechanical complication of implanted electronic stimulator of nervous system,neuro,devices [neuro],code_truncated
T85.7,hes_apc,diag,icd10,infection and inflammatory reaction due to other internal prosthetic devices implants and grafts,neuro,devices [neuro],code_truncated
Z98.2,hes_apc,diag,icd10,presence of cerebrospinal fluid drainage device,neuro,devices [neuro],
Q20,hes_apc,diag,icd10,congenital malformations of cardiac chambers and connections,cardio,cardio_malformations,
Q21.2,hes_apc,diag,icd10,atrioventricular septal defect,cardio,cardio_malformations,
Q21.3,hes_apc,diag,icd10,tetralogy of fallot,cardio,cardio_malformations,
Q21.4,hes_apc,diag,icd10,aortopulmonary septal defect,cardio,cardio_malformations,
Q21.8,hes_apc,diag,icd10,other congenital malformations of cardiac septa,cardio,cardio_malformations,
Q21.9,hes_apc,diag,icd10,congenital malformation of cardiac septum unspecified,cardio,cardio_malformations,
Q22,hes_apc,diag,icd10,congenital malformations of pulmonary and tricuspid valves,cardio,cardio_malformations,
Q23,hes_apc,diag,icd10,congenital malformations of aortic and mitral valves,cardio,cardio_malformations,
Q24,hes_apc,diag,icd10,other congenital malformations of heart,cardio,cardio_malformations,
Q25.1,hes_apc,diag,icd10,coarctation of aorta,cardio,cardio_malformations,
