code,dataset,field,code_type,group,subgroup,reason_for_removal
G31.89,hes_apc,diag,icd-10-cm,neuro,cns_degeneration,would be truncated but code G31.8 already present independently
G25.3,hes_apc,diag,icd10,neuro,cns_degeneration,removed from this group/subgroup only; it is included under movement diseases
G82.9,hes_apc,diag,not_found,neuro,other_cns,code not found in icd-10 or icd-10-cm
R40.3,hes_apc,diag,icd-10-cm,neuro,other_cns,icd-10-cm not used in HES
_0016070,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016071,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016072,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016073,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016074,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016075,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016076,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016077,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016078,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001607B,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016075,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016076,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016078,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001607B,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016370,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016371,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016372,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016375,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016376,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016377,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_0016378,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001637B,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001U074,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001U076,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001U077,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001U079,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001U374,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001U376,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_001U377,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_00B70ZZ,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_00B74ZZ,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_00T70ZZ,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_00T73ZZ,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
_00T74ZZ,hes_apc,diag,icd-10-pcs,neuro,other_cns,icd-10-pcs codes not used in HES
Z45.41,hes_apc,diag,icd-10-cm,neuro,devices [neuro],code (including Z45.4) only exists in icd-10-cm
