code,dataset,group,subgroup,truncated_to
G31.01,hes_apc,neuro,cns_degeneration,G31.0
G31.09,hes_apc,neuro,cns_degeneration,G31.0
G32.89,hes_apc,neuro,cns_degeneration,G32.8
G95.19,hes_apc,neuro,cns_degeneration,G95.1
G85.89,hes_apc,neuro,cns_degeneration,G95.8
G40.311,hes_apc,neuro,epilepsy,G40.3
G40.301,hes_apc,neuro,epilepsy,G40.3
G40.211,hes_apc,neuro,epilepsy,G40.2
G40.219,hes_apc,neuro,epilepsy,G40.2
G40.411,hes_apc,neuro,epilepsy,G40.4
G40.419,hes_apc,neuro,epilepsy,G40.4
G40.111,hes_apc,neuro,epilepsy,G40.1
G40.119,hes_apc,neuro,epilepsy,G40.1
G40.804,hes_apc,neuro,epilepsy,G40.8
G40.911,hes_apc,neuro,epilepsy,G40.9
G40.919,hes_apc,neuro,epilepsy,G40.9
G81.90,hes_apc,neuro,other_cns,G81.9
G82.90,hes_apc,neuro,other_cns,G82.9
G82.50,hes_apc,neuro,other_cns,G82.5
G82.51,hes_apc,neuro,other_cns,G82.5
G82.52,hes_apc,neuro,other_cns,G82.5
G82.53,hes_apc,neuro,other_cns,G82.5
G82.54,hes_apc,neuro,other_cns,G82.5
I63.30,hes_apc,neuro,occlusion_cer_art,I63.3
I63.50,hes_apc,neuro,occlusion_cer_art,I63.5
G21.11,hes_apc,neuro,movement_disorders,G21.1
G21.19,hes_apc,neuro,movement_disorders,G21.1
G24.02,hes_apc,neuro,movement_disorders,G24.0
G25.81,hes_apc,neuro,movement_disorders,G25.8
G25.82,hes_apc,neuro,movement_disorders,G25.8
G25.83,hes_apc,neuro,movement_disorders,G25.8
G25.89,hes_apc,neuro,movement_disorders,G25.8
T85.09XA,hes_apc,neuro,devices [neuro],T85.0
T85.190A,hes_apc,neuro,devices [neuro],T85.1
T85.192A,hes_apc,neuro,devices [neuro],T85.1
T85.199A,hes_apc,neuro,devices [neuro],T85.1
T85.79XA,hes_apc,neuro,devices [neuro],T85.7
I27.81,hes_apc,cardio,other [cardio],I27.8
I27.89,hes_apc,cardio,other [cardio],I27.8
I51.81,hes_apc,cardio,other [cardio],I51.8
I63.139,hes_apc,cardio,other [cardio],I63.1
I63.239,hes_apc,cardio,other [cardio],I63.2
T82.519A,hes_apc,cardio,devices [cardio],T82.5
T82.529A,hes_apc,cardio,devices [cardio],T82.5
T82.539A,hes_apc,cardio,devices [cardio],T82.5
T82.599A,hes_apc,cardio,devices [cardio],T82.5
T82.110A,hes_apc,cardio,devices [cardio],T82.1
T82.111A,hes_apc,cardio,devices [cardio],T82.1
T82.120A,hes_apc,cardio,devices [cardio],T82.1
T82.121A,hes_apc,cardio,devices [cardio],T82.1
T82.190A,hes_apc,cardio,devices [cardio],T82.1
T82.191A,hes_apc,cardio,devices [cardio],T82.1
T82.01XA,hes_apc,cardio,devices [cardio],T82.0
T82.02XA,hes_apc,cardio,devices [cardio],T82.0
T82.03XA,hes_apc,cardio,devices [cardio],T82.0
T82.09XA,hes_apc,cardio,devices [cardio],T82.0
T82.211A,hes_apc,cardio,devices [cardio],T82.2
T82.212A,hes_apc,cardio,devices [cardio],T82.2
