code,dataset,field,code_type,description
A17,hes_apc,diag,icd10,tuberculosis of nervous system
A81.0,hes_apc,diag,icd10,creutzfeldt-jakob disease
A81.1,hes_apc,diag,icd10,subacute sclerosing panencephalitis
B20,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases
B21,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in malignant neoplasms
B22,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in other specified diseases
B23,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in other conditions
B24,hes_apc,diag,icd10,unspecified human immunodeficiency virus [hiv] disease
C00,hes_apc,diag,icd10,malignant neoplasm of lip
C01,hes_apc,diag,icd10,malignant neoplasm of base of tongue
C02,hes_apc,diag,icd10,malignant neoplasm of other and unspecified parts of tongue
C03,hes_apc,diag,icd10,malignant neoplasm of gum
C04,hes_apc,diag,icd10,malignant neoplasm of floor of mouth
C05,hes_apc,diag,icd10,malignant neoplasm of palate
C06,hes_apc,diag,icd10,malignant neoplasm of other and unspecified parts of mouth
C07,hes_apc,diag,icd10,malignant neoplasm of parotid gland
C08,hes_apc,diag,icd10,malignant neoplasm of other and unspecified major salivary glands
C09,hes_apc,diag,icd10,malignant neoplasm of tonsil
C10,hes_apc,diag,icd10,malignant neoplasm of oropharynx
C11,hes_apc,diag,icd10,malignant neoplasm of nasopharynx
C12,hes_apc,diag,icd10,malignant neoplasm of piriform sinus
C13,hes_apc,diag,icd10,malignant neoplasm of hypopharynx
C14,hes_apc,diag,icd10,malignant neoplasm of other and ill-defined sites in the lip oral cavity and pharynx
C15,hes_apc,diag,icd10,malignant neoplasm of oesophagus
C16,hes_apc,diag,icd10,malignant neoplasm of stomach
C17,hes_apc,diag,icd10,malignant neoplasm of small intestine
C18,hes_apc,diag,icd10,malignant neoplasm of colon
C19,hes_apc,diag,icd10,malignant neoplasm of rectosigmoid junction
C20,hes_apc,diag,icd10,malignant neoplasm of rectum
C21,hes_apc,diag,icd10,malignant neoplasm of anus and anal canal
C22,hes_apc,diag,icd10,malignant neoplasm of liver and intrahepatic bile ducts
C23,hes_apc,diag,icd10,malignant neoplasm of gallbladder
C24,hes_apc,diag,icd10,malignant neoplasm of other and unspecified parts of biliary tract
C25,hes_apc,diag,icd10,malignant neoplasm of pancreas
C26,hes_apc,diag,icd10,malignant neoplasm of other and ill-defined digestive organs
C30,hes_apc,diag,icd10,malignant neoplasm of nasal cavity and middle ear
