code,dataset,field,code_type,description,group,subgroup1,subgroup2,subgroup3,certitude,certitude_numeric,flag
F70,hes_apc,diag,icd10,mild mental retardation,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F71,hes_apc,diag,icd10,moderate mental retardation,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F72,hes_apc,diag,icd10,severe mental retardation,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F73,hes_apc,diag,icd10,profound mental retardation,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F78,hes_apc,diag,icd10,other mental retardation,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F79,hes_apc,diag,icd10,unspecified mental retardation,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F80,hes_apc,diag,icd10,specific developmental disorders of speech and language,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F80.0,hes_apc,diag,icd10,specific speech articulation disorder,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F80.1,hes_apc,diag,icd10,expressive language disorder,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F80.2,hes_apc,diag,icd10,receptive language disorder,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F80.8,hes_apc,diag,icd10,other developmental disorders of speech and language,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F80.9,hes_apc,diag,icd10,developmental disorder of speech and language unspecified,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F81,hes_apc,diag,icd10,specific developmental disorders of scholastic skills,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F81.0,hes_apc,diag,icd10,specific reading disorder,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F81.1,hes_apc,diag,icd10,specific spelling disorder,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F81.2,hes_apc,diag,icd10,specific disorder of arithmetical skills,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F81.3,hes_apc,diag,icd10,mixed disorder of scholastic skills,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F81.8,hes_apc,diag,icd10,other developmental disorders of scholastic skills,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F81.9,hes_apc,diag,icd10,developmental disorder of scholastic skills unspecified,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F82,hes_apc,diag,icd10,specific developmental disorder of motor function,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F83,hes_apc,diag,icd10,mixed specific developmental disorders,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F84.2,hes_apc,diag,icd10,rett syndrome,non_perinatal,a_neurodisab,a1_dd_ld,,definite,3,
F88,hes_apc,diag,icd10,other disorders of psychological development,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F89,hes_apc,diag,icd10,unspecified disorder of psychological development,non_perinatal,a_neurodisab,a1_dd_ld,,definite,2.75,
F84.0,hes_apc,diag,icd10,childhood autism,non_perinatal,a_neurodisab,a2_autism,,definite,3,
F84.1,hes_apc,diag,icd10,atypical autism,non_perinatal,a_neurodisab,a2_autism,,definite,3,
F84.3,hes_apc,diag,icd10,other childhood disintegrative disorder,non_perinatal,a_neurodisab,a2_autism,,definite,3,
F84.4,hes_apc,diag,icd10,overactive disorder associated with mental retardation and stereotyped movements,non_perinatal,a_neurodisab,a2_autism,,definite,3,
F84.5,hes_apc,diag,icd10,asperger syndrome,non_perinatal,a_neurodisab,a2_autism,,definite,3,
F84.8,hes_apc,diag,icd10,other pervasive developmental disorders,non_perinatal,a_neurodisab,a2_autism,,definite,3,
F84.9,hes_apc,diag,icd10,pervasive developmental disorder unspecified,non_perinatal,a_neurodisab,a2_autism,,definite,3,
G80,hes_apc,diag,icd10,cerebral palsy,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G80.0,hes_apc,diag,icd10,spastic quadriplegic cerebral palsy,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G80.1,hes_apc,diag,icd10,spastic diplegic cerebral palsy,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G80.2,hes_apc,diag,icd10,spastic hemiplegic cerebral palsy,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G80.3,hes_apc,diag,icd10,dyskinetic cerebral palsy,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G80.4,hes_apc,diag,icd10,ataxic cerebral palsy,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G80.8,hes_apc,diag,icd10,other cerebral palsy,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
