code,dataset,field,code_type,description,group,subgroup,diag_position,flag1,flag2
R10,hes_apc,diag,icd10,abdominal and pelvic pain,pain-related,abdominal/pelvic pain,first,emergency_admission,med_surg
R51,hes_apc,diag,icd10,headache,pain-related,headache,first,emergency_admission,
G44.2,hes_apc,diag,icd10,tension-type headache,pain-related,headache,first,emergency_admission,
M54,hes_apc,diag,icd10,dorsalgia,pain-related,other pain,first,emergency_admission,
M62.6,hes_apc,diag,icd10,muscle strain,pain-related,other pain,first,emergency_admission,
M79.6,hes_apc,diag,icd10,pain in limb,pain-related,other pain,first,emergency_admission,
R52,hes_apc,diag,icd10,pain not elsewhere classified,pain-related,other pain,first,emergency_admission,
R00,hes_apc,diag,icd10,abnormalities of heart beat,other somatic,circulatory/respiratory signs,first,emergency_admission,
R03,hes_apc,diag,icd10,abnormal blood-pressure reading without diagnosis,other somatic,circulatory/respiratory signs,first,emergency_admission,
R05,hes_apc,diag,icd10,cough,other somatic,circulatory/respiratory signs,first,emergency_admission,
R06,hes_apc,diag,icd10,abnormalities of breathing,other somatic,circulatory/respiratory signs,first,emergency_admission,
R07,hes_apc,diag,icd10,pain in throat and chest,other somatic,circulatory/respiratory signs,first,emergency_admission,
R11,hes_apc,diag,icd10,nausea and vomiting,other somatic,digestive symptoms,first,emergency_admission,
R12,hes_apc,diag,icd10,heartburn,other somatic,digestive symptoms,first,emergency_admission,
R13,hes_apc,diag,icd10,dysphagia,other somatic,digestive symptoms,first,emergency_admission,
R14,hes_apc,diag,icd10,flatulence and related conditions,other somatic,digestive symptoms,first,emergency_admission,
R19.4,hes_apc,diag,icd10,change in bowel habit,other somatic,digestive symptoms,first,emergency_admission,
R20,hes_apc,diag,icd10,disturbances of skin sensation,other somatic,skin symptoms,first,emergency_admission,
R21,hes_apc,diag,icd10,rash and other nonspecific skin eruption,other somatic,skin symptoms,first,emergency_admission,
R23.1,hes_apc,diag,icd10,pallor,other somatic,skin symptoms,first,emergency_admission,
R23.4,hes_apc,diag,icd10,changes in skin texture,other somatic,skin symptoms,first,emergency_admission,
R23.8,hes_apc,diag,icd10,other and unspecified skin changes,other somatic,skin symptoms,first,emergency_admission,
R25,hes_apc,diag,icd10,abnormal involuntary movements,other somatic,nervous/musculoskeletal symptoms,first,emergency_admission,
R26,hes_apc,diag,icd10,abnormalities of gait and mobility,other somatic,nervous/musculoskeletal symptoms,first,emergency_admission,
R27,hes_apc,diag,icd10,other lack of coordination,other somatic,nervous/musculoskeletal symptoms,first,emergency_admission,
R29.2,hes_apc,diag,icd10,abnormal reflex,other somatic,nervous/musculoskeletal symptoms,first,emergency_admission,
R29.3,hes_apc,diag,icd10,abnormal posture,other somatic,nervous/musculoskeletal symptoms,first,emergency_admission,
R29.4,hes_apc,diag,icd10,clicking hip,other somatic,nervous/musculoskeletal symptoms,first,emergency_admission,
R29.8,hes_apc,diag,icd10,other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,other somatic,nervous/musculoskeletal symptoms,first,emergency_admission,
R40.0,hes_apc,diag,icd10,somnolence,other somatic,cognitive symptoms,first,emergency_admission,
R40.1,hes_apc,diag,icd10,stupor,other somatic,cognitive symptoms,first,emergency_admission,
R41,hes_apc,diag,icd10,other symptoms and signs involving cognitive functions and awareness,other somatic,cognitive symptoms,first,emergency_admission,
R42,hes_apc,diag,icd10,dizziness and giddiness,other somatic,cognitive symptoms,first,emergency_admission,
R53,hes_apc,diag,icd10,malaise and fatigue,other somatic,malaise/fatigue/syncope,first,emergency_admission,
R55,hes_apc,diag,icd10,syncope and collapse,other somatic,malaise/fatigue/syncope,first,emergency_admission,
R44,hes_apc,diag,icd10,other symptoms and signs involving general sensations and perceptions,other somatic,other/general symptoms,first,emergency_admission,
R45,hes_apc,diag,icd10,symptoms and signs involving emotional state,other somatic,other/general symptoms,first,emergency_admission,
R46,hes_apc,diag,icd10,symptoms and signs involving appearance and behaviour,other somatic,other/general symptoms,first,emergency_admission,
R47,hes_apc,diag,icd10,speech disturbances not elsewhere classified,other somatic,other/general symptoms,first,emergency_admission,
R49,hes_apc,diag,icd10,voice disturbances,other somatic,other/general symptoms,first,emergency_admission,
Z56.3,hes_apc,diag,icd10,stressful work schedule,other somatic,other/general symptoms,first,emergency_admission,
Z56.4,hes_apc,diag,icd10,discord with boss and workmates,other somatic,other/general symptoms,first,emergency_admission,
Z71.1,hes_apc,diag,icd10,person with feared complaint in whom no diagnosis is made,other somatic,other/general symptoms,first,emergency_admission,
Z73.3,hes_apc,diag,icd10,stress not elsewhere classified,other somatic,other/general symptoms,first,emergency_admission,
F31,hes_apc,diag,icd10,bipolar affective disorder,mental health & behavioural,anxiety/depression,first,emergency_admission,
F32.0,hes_apc,diag,icd10,mild depressive episode,mental health & behavioural,anxiety/depression,first,emergency_admission,
F32.1,hes_apc,diag,icd10,moderate depressive episode,mental health & behavioural,anxiety/depression,first,emergency_admission,
F32.2,hes_apc,diag,icd10,severe depressive episode without psychotic symptoms,mental health & behavioural,anxiety/depression,first,emergency_admission,
F32.3,hes_apc,diag,icd10,severe depressive episode with psychotic symptoms,mental health & behavioural,anxiety/depression,first,emergency_admission,
F32.8,hes_apc,diag,icd10,other depressive episodes,mental health & behavioural,anxiety/depression,first,emergency_admission,
F32.9,hes_apc,diag,icd10,depressive episode unspecified,mental health & behavioural,anxiety/depression,first,emergency_admission,
F33.0,hes_apc,diag,icd10,recurrent depressive disorder current episode mild,mental health & behavioural,anxiety/depression,first,emergency_admission,
F33.1,hes_apc,diag,icd10,recurrent depressive disorder current episode moderate,mental health & behavioural,anxiety/depression,first,emergency_admission,
F33.2,hes_apc,diag,icd10,recurrent depressive disorder current episode severe without psychotic symptoms,mental health & behavioural,anxiety/depression,first,emergency_admission,
F33.3,hes_apc,diag,icd10,recurrent depressive disorder current episode severe with psychotic symptoms,mental health & behavioural,anxiety/depression,first,emergency_admission,
F33.8,hes_apc,diag,icd10,other recurrent depressive disorders,mental health & behavioural,anxiety/depression,first,emergency_admission,
F33.9,hes_apc,diag,icd10,recurrent depressive disorder unspecified,mental health & behavioural,anxiety/depression,first,emergency_admission,
F34.1,hes_apc,diag,icd10,dysthymia,mental health & behavioural,anxiety/depression,first,emergency_admission,
F40,hes_apc,diag,icd10,phobic anxiety disorders,mental health & behavioural,anxiety/depression,first,emergency_admission,
F41.0,hes_apc,diag,icd10,panic disorder [episodic paroxysmal anxiety],mental health & behavioural,anxiety/depression,first,emergency_admission,
F41.1,hes_apc,diag,icd10,generalized anxiety disorder,mental health & behavioural,anxiety/depression,first,emergency_admission,
