code,dataset,field,code_type,description,group,subgroup,diag_position,flag1,flag2
R10,hes_apc,diag,icd10,abdominal and pelvic pain,potentially_psych,pain,first,emergency_admission,med_surg
R51,hes_apc,diag,icd10,headache,potentially_psych,headache,first,emergency_admission,med_surg
G43,hes_apc,diag,icd10,migraine,potentially_psych,headache,first,emergency_admission,med_surg
G44,hes_apc,diag,icd10,other headache syndromes,potentially_psych,headache,first,emergency_admission,med_surg
M54,hes_apc,diag,icd10,dorsalgia,potentially_psych,headache,first,emergency_admission,med_surg
M62.6,hes_apc,diag,icd10,muscle strain,potentially_psych,other pain,first,emergency_admission,med_surg
M79.6,hes_apc,diag,icd10,pain in limb,potentially_psych,other pain,first,emergency_admission,med_surg
R52,hes_apc,diag,icd10,pain not elsewhere classified,potentially_psych,other pain,first,emergency_admission,med_surg
R00,hes_apc,diag,icd10,abnormalities of heart beat,potentially_psych,circulatory/respiratory signs,first,emergency_admission,med_surg
R03,hes_apc,diag,icd10,abnormal blood-pressure reading without diagnosis,potentially_psych,circulatory/respiratory signs,first,emergency_admission,med_surg
R05,hes_apc,diag,icd10,cough,potentially_psych,circulatory/respiratory signs,first,emergency_admission,med_surg
R06,hes_apc,diag,icd10,abnormalities of breathing,potentially_psych,circulatory/respiratory signs,first,emergency_admission,med_surg
R07,hes_apc,diag,icd10,pain in throat and chest,potentially_psych,circulatory/respiratory signs,first,emergency_admission,med_surg
R11,hes_apc,diag,icd10,nausea and vomiting,potentially_psych,digestive symptoms,first,emergency_admission,med_surg
R12,hes_apc,diag,icd10,heartburn,potentially_psych,digestive symptoms,first,emergency_admission,med_surg
R13,hes_apc,diag,icd10,dysphagia,potentially_psych,digestive symptoms,first,emergency_admission,med_surg
R14,hes_apc,diag,icd10,flatulence and related conditions,potentially_psych,digestive symptoms,first,emergency_admission,med_surg
R63,hes_apc,diag,icd10,symptoms and signs concerning food and fluid intake,potentially_psych,digestive symptoms,first,emergency_admission,med_surg
R19.4,hes_apc,diag,icd10,change in bowel habit,potentially_psych,digestive symptoms,first,emergency_admission,med_surg
R20,hes_apc,diag,icd10,disturbances of skin sensation,potentially_psych,skin symptoms,first,emergency_admission,med_surg
